"","brewery_name","review_time","review_aroma","review_appearance","beer_style","review_palate","review_taste","beer_name","beer_abv"
"17","Victory Brewing Company",1270596827,3,3.5,"Maibock / Helles Bock",3.5,3.5,"St. Boisterous",7.4
"18","Tröegs Brewing Company",1116743028,3.5,3.5,"American Brown Ale",3.5,3.5,"Beer Union Local 1807 Brown Ale",4.4
"19","Victory Brewing Company",1277167012,3.5,5,"Belgian IPA",3,3,"Wild Devil",6.7
"20","Victory Brewing Company",1283660248,3.5,3.5,"American Double / Imperial IPA",4,4.5,"Hop Wallop",8.5
"21","Victory Brewing Company",1280612077,4,3.5,"Tripel",4,3,"Golden Monkey",9.5
"22","Yuengling Brewery ",1244513111,2,3.5,"American Amber / Red Lager",4,3.5,"Yuengling Traditional Lager",4.4
"23","Tröegs Brewing Company",1147980912,4.5,3.5,"American Amber / Red Ale",4,4.5,"Tröegs Hopback Amber Ale",6
"24","Victory Brewing Company",1281409762,4,4,"English Bitter",4,3.5,"Gassy Jack Bitter",4.9
"25","Tröegs Brewing Company",1242524502,4,3,"Belgian Strong Dark Ale",4,4,"Tröegs Mad Elf",11
"26","Victory Brewing Company",1029872165,4,5,"German Pilsener",4,3.5,"Prima Pils",5.3
"27","Tröegs Brewing Company",1245715500,3.5,3.5,"English Brown Ale",3.5,2.5,"Tröegs Rugged Trail Nut Brown Ale",4.4
"28","Yuengling Brewery ",1039091574,3,4,"American Amber / Red Lager",3.5,3.5,"Yuengling Traditional Lager",4.4
"29","Victory Brewing Company",1134235288,2.5,2.5,"German Pilsener",2.5,3,"Prima Pils",5.3
"30","Victory Brewing Company",1322185501,4.5,4,"Weizenbock",4.5,4,"Moonglow Weizenbock",8.7
"31","Victory Brewing Company",1162232632,4,3.5,"American Double / Imperial IPA",3.5,3.5,"Hop Wallop",8.5
"32","Tröegs Brewing Company",1239946507,3.5,4,"English Brown Ale",3,3.5,"Tröegs Rugged Trail Nut Brown Ale",4.4
"33","Tröegs Brewing Company",1254860254,3.5,5,"English Brown Ale",3.5,3.5,"Tröegs Rugged Trail Nut Brown Ale",4.4
"34","Victory Brewing Company",1265497544,4,4,"American Black Ale",4,4,"Yakima Glory",8.7
"35","Victory Brewing Company",1244256134,4.5,3.5,"American Barleywine",4,4,"Old Horizontal",11
"36","Tröegs Brewing Company",1313746405,3.5,4.5,"American IPA",3.5,3.5,"Tröegs Perpetual IPA",7.5
"37","Victory Brewing Company",1130712857,4,4.5,"American Double / Imperial IPA",4.5,4.5,"Hop Wallop",8.5
"38","Victory Brewing Company",1232254293,4,4,"Doppelbock",4,4,"St. Victorious",7.6
"39","Victory Brewing Company",1229797706,3,3,"American Adjunct Lager",3.5,3,"Throwback Lager",5.4
"40","Tröegs Brewing Company",1244740112,4.5,4.5,"American Barleywine",4.5,4.5,"Flying Mouflan",9.3
"41","Victory Brewing Company",1254111488,3.5,4.5,"Märzen / Oktoberfest",4.5,4,"Festbier",5.6
"42","Yards Brewing Co.",1159236301,4.5,4,"Extra Special / Strong Bitter (ESB)",3.5,4,"Extra Special Ale (ESA)",6.3
"43","Tröegs Brewing Company",1264373353,3.5,3.5,"English Brown Ale",4,4,"Tröegs Rugged Trail Nut Brown Ale",4.4
"44","Victory Brewing Company",1025721473,4.5,4.5,"Tripel",4,4,"Golden Monkey",9.5
"45","Victory Brewing Company",1316735621,3.5,4,"Märzen / Oktoberfest",4,3.5,"Festbier",5.6
"46","Victory Brewing Company",1105593704,4.5,4.5,"Russian Imperial Stout",4,4.5,"Storm King Stout",9.1
"47","Victory Brewing Company",1299028451,4,4,"American Pale Ale (APA)",4.5,4,"Headwaters Pale Ale",5.1
"48","Victory Brewing Company",1216232501,3,3,"Baltic Porter",3,3,"Baltic Thunder",8.5
"49","Victory Brewing Company",1177812496,4.5,4,"Doppelbock",4.5,4.5,"St. Victorious",7.6
"50","Victory Brewing Company",1260813264,4,4,"American Black Ale",4,4.5,"Yakima Glory",8.7
"51","Victory Brewing Company",1251843929,4,4,"Saison / Farmhouse Ale",4.5,4,"Helios  (V Saison)",7.5
"52","Victory Brewing Company",1271891973,3.5,4,"Witbier",4,3.5,"Whirlwind Witbier",5
"53","Yuengling Brewery ",1191418900,2.5,3.5,"American Pale Lager",2.5,2.5,"Yuengling Premium Beer",4.4
"54","Victory Brewing Company",1278558402,4.5,4,"Baltic Porter",4,3.5,"Baltic Thunder",8.5
"55","Tröegs Brewing Company",1215877513,4,4,"American Amber / Red Ale",4,3,"Tröegs Hopback Amber Ale",6
"56","Victory Brewing Company",1240779417,3.5,4,"German Pilsener",4.5,4.5,"Prima Pils",5.3
"57","Yards Brewing Co.",1284269710,3.5,2.5,"English Stout",3.5,3.5,"Love Stout",5
"58","Tröegs Brewing Company",1292030217,4,4,"American IPA",4,4,"Scratch Beer 38 - 2010 (IPA #2 Of 4)",7.7
"59","Victory Brewing Company",1299961221,3.5,3.5,"American Pale Ale (APA)",3,3,"Headwaters Pale Ale",5.1
"60","Tröegs Brewing Company",1297994366,5,4,"American Amber / Red Ale",4.5,4.5,"Tröegs Nugget Nectar",7.5
"61","Voodoo Brewing Company",1274497841,5,4,"American Double / Imperial Stout",3,4,"Black Magick",15
"62","Yuengling Brewery ",1238026160,2.5,3.5,"Black & Tan",2.5,3,"Yuengling Black & Tan",4.7
"63","Victory Brewing Company",1267925609,4,4,"German Pilsener",4,4,"Prima Pils",5.3
"64","Tröegs Brewing Company",1268261038,4,4,"American Amber / Red Ale",4,4,"Tröegs Hopback Amber Ale",6
"65","Victory Brewing Company",1258251293,4,4,"Belgian IPA",3.5,4,"Wild Devil",6.7
"66","Victory Brewing Company",1306790067,4,4,"American IPA",4,4,"HopDevil Ale",6.7
"67","Yuengling Brewery ",1112160806,3,3.5,"Black & Tan",3,3.5,"Yuengling Black & Tan",4.7
"68","Victory Brewing Company",1153138997,3.5,3,"Maibock / Helles Bock",3.5,3.5,"St. Boisterous",7.4
"69","Tröegs Brewing Company",1068128576,3,4,"German Pilsener",3,3.5,"Tröegs Sunshine Pils",5.3
"70","Victory Brewing Company",1252215524,4.5,4.5,"Saison / Farmhouse Ale",4,3.5,"Helios  (V Saison)",7.5
"71","Yards Brewing Co.",1302553365,2.5,3.5,"English Strong Ale",3.5,3.5,"Thomas Jefferson's Tavern Ale",8
"72","Yuengling Brewery ",1231818489,3,4,"American Amber / Red Lager",4,4.5,"Yuengling Traditional Lager",4.4
"73","Tröegs Brewing Company",1311629399,5,3.5,"American IPA",4,5,"Scratch Beer 45 - 2011",7
"74","Victory Brewing Company",1255475906,4.5,4,"Märzen / Oktoberfest",4,3.5,"Festbier",5.6
"75","Tröegs Brewing Company",1295107348,4,4.5,"American IPA",4,4,"Scratch Beer 40 - 2010 (IPA #4 Of 4)",8.1
"76","Victory Brewing Company",1316217244,4,4,"Märzen / Oktoberfest",4,4,"Festbier",5.6
"77","Tröegs Brewing Company",1253663000,3.5,4,"Witbier",4.5,4,"Scratch Beer 22 - 2009",5.5
"78","Victory Brewing Company",1134274233,4,4,"American Double / Imperial IPA",4,4.5,"Hop Wallop",8.5
"79","Tröegs Brewing Company",1316589405,4,4.5,"American Amber / Red Ale",3.5,4,"Tröegs Hopback Amber Ale",6
"80","Tröegs Brewing Company",1214007028,4.5,4,"American IPA",4,4,"The Drafting Room 14th Anniversary Ale",6.5
"81","Victory Brewing Company",1223166072,4,4,"Saison / Farmhouse Ale",4,4,"V-Saison",7.5
"82","Victory Brewing Company",1230269294,3.5,4,"American Barleywine",4,4.5,"Old Horizontal",11
"83","Yards Brewing Co.",1155772973,4,3,"English India Pale Ale (IPA)",4,4,"India Pale Ale",7
"84","Tröegs Brewing Company",1172084312,4.5,4,"American Amber / Red Ale",3.5,3.5,"Tröegs Nugget Nectar",7.5
"85","Victory Brewing Company",1231471249,4,4.5,"American Double / Imperial IPA",4,4.5,"Hop Wallop",8.5
"86","Yuengling Brewery ",1229757232,3,3,"Black & Tan",3,2.5,"Yuengling Black & Tan",4.7
"87","Yards Brewing Co.",1202604282,4,4,"Lambic - Fruit",4,3.5,"Pynk",4.5
"88","Victory Brewing Company",1086613407,4.5,4,"Maibock / Helles Bock",4.5,4,"St. Boisterous",7.4
"89","Tröegs Brewing Company",1210202150,4,3.5,"German Pilsener",3.5,3.5,"Tröegs Sunshine Pils",5.3
"90","Tröegs Brewing Company",1296263311,3.5,3.5,"Hefeweizen",4.5,3.5,"DreamWeaver Wheat",4.8
"91","Victory Brewing Company",1281940645,3.5,3.5,"Quadrupel (Quad)",3,3.5,"V-Twelve",12
"92","Victory Brewing Company",1296611083,4.5,3.5,"Baltic Porter",3.5,4,"Baltic Thunder",8.5
"93","Victory Brewing Company",1139295175,4,4,"Weizenbock",4,4,"Moonglow Weizenbock",8.7
"94","Victory Brewing Company",1254089851,4.5,4.5,"Belgian IPA",4,4,"Wild Devil",6.7
"95","Tröegs Brewing Company",1312396834,4,4,"Belgian IPA",4,4,"Scratch Beer 29 - 2010 (NBPA)",7.7
"96","Victory Brewing Company",1232419195,4,4.5,"Russian Imperial Stout",4,4.5,"Storm King Stout",9.1
"97","Victory Brewing Company",1325113864,4,4,"Smoked Beer",4,3.5,"Otto Ale",8.1
"98","Voodoo Brewing Company",1247606749,4,4,"American Double / Imperial Stout",4,4,"Big Black Voodoo Daddy",12.5
"99","Tröegs Brewing Company",1312905568,3.5,3.5,"English Brown Ale",3,4,"Tröegs Rugged Trail Nut Brown Ale",4.4
"100","Victory Brewing Company",1075786380,4,4,"Belgian Strong Dark Ale",4,3.5,"V-Grand Cru",9
"101","Victory Brewing Company",1083614041,4,4.5,"Russian Imperial Stout",4.5,4.5,"Storm King Stout",9.1
"102","Tröegs Brewing Company",1279521801,3.5,4,"American Amber / Red Ale",3,4,"Tröegs Nugget Nectar",7.5
"103","Victory Brewing Company",1305679298,4,3.5,"Saison / Farmhouse Ale",3,3.5,"Saison Du BUFF",6.8
"104","Yards Brewing Co.",1141885624,3,3.5,"Saison / Farmhouse Ale",4,4,"Yards Saison",6.5
"105","Victory Brewing Company",1073174071,4,4.5,"Belgian Strong Dark Ale",4,4.5,"V-Ten",10
"106","Tröegs Brewing Company",1286764888,4,4.5,"American Porter",4.5,4,"Tröegs Dead Reckoning Porter",5.4
"107","Victory Brewing Company",1207025665,4,3.5,"American Barleywine",4,4,"Old Horizontal",11
"108","Yuengling Brewery ",1267746632,3,3.5,"American Amber / Red Lager",4,4,"Yuengling Traditional Lager",4.4
"109","Tröegs Brewing Company",1240667194,4.5,4.5,"American Amber / Red Ale",4.5,4.5,"Tröegs Hopback Amber Ale",6
"110","Victory Brewing Company",1162080865,3.5,2.5,"Witbier",4,3.5,"Whirlwind Witbier",5
"111","Victory Brewing Company",1304435583,3,4,"Tripel",4,4,"Golden Monkey",9.5
"112","Victory Brewing Company",1220295764,4.5,4,"American IPA",4.5,4.5,"HopDevil Ale",6.7
"113","Victory Brewing Company",1248488754,4,3.5,"Hefeweizen",3,3,"Saphir Weiss",NA
"114","Yuengling Brewery ",1317084891,3,3,"Light Lager",3,3,"Yuengling Light Beer",3.5
"115","Victory Brewing Company",1283206418,4,4.5,"Belgian IPA",4,4,"Wild Devil",6.7
"116","Victory Brewing Company",1314924342,3.5,3,"German Pilsener",3.5,4,"Prima Pils",5.3
"117","Tröegs Brewing Company",1275423760,3,4,"Oatmeal Stout",3.5,3.5,"Tröegs Java Head Stout",7.5
"118","Victory Brewing Company",1172119298,4.5,4,"Russian Imperial Stout",4,4.5,"Storm King Stout",9.1
"119","Tröegs Brewing Company",1267837601,4,3.5,"Doppelbock",2,2.5,"Troegenator Double Bock",8.2
"120","Yuengling Brewery ",1264645310,3,3,"American Amber / Red Lager",3,3.5,"Yuengling Traditional Lager",4.4
"121","Victory Brewing Company",1325017838,3.5,4,"Tripel",3.5,3,"Tettnager Trippel",89
"122","Victory Brewing Company",1254005593,4,4,"Baltic Porter",4,4,"Baltic Thunder",8.5
"123","Victory Brewing Company",1245211989,3,3.5,"German Pilsener",2.5,3,"Prima Pils",5.3
"124","Victory Brewing Company",1311816514,3.5,4,"American Blonde Ale",4,4,"Summer Love",5.2
"125","Tröegs Brewing Company",1290978130,4,4,"American IPA",4,4,"Scratch Beer 38 - 2010 (IPA #2 Of 4)",7.7
"126","Victory Brewing Company",1263003374,4,4,"German Pilsener",4,5,"Prima Pils",5.3
"127","Victory Brewing Company",1132623485,3,2.5,"Märzen / Oktoberfest",4,3.5,"Festbier",5.6
"128","Victory Brewing Company",1319411116,4,3,"Saison / Farmhouse Ale",3,3,"Helios  (V Saison)",7.5
"129","Yards Brewing Co.",1173661561,3,4,"American Pale Ale (APA)",4,3.5,"Philadelphia Pale Ale",4.3
"130","Victory Brewing Company",1325567390,4,4,"Russian Imperial Stout",3.5,4.5,"Storm King Stout",9.1
"131","Victory Brewing Company",1152760860,4,3.5,"Witbier",4,4,"Whirlwind Witbier",5
"132","Yuengling Brewery ",1257817067,2,2,"Light Lager",2,2,"Yuengling Light Lager",3.4
"133","Tröegs Brewing Company",1260630853,4,5,"American Double / Imperial Stout",4.5,4.5,"Scratch Beer 19 -  2009",9.5
"134","Tröegs Brewing Company",1276697575,4.5,4,"American IPA",4,4,"Scratch Beer 31 - 2010 (Oak Aged - Citra Of Brotherly Love IPA)",7.4
"135","Victory Brewing Company",1272454879,4,4,"American Barleywine",4.5,4,"Old Horizontal",11
"136","Tröegs Brewing Company",1218406260,4,3.5,"Belgian Strong Pale Ale",4,4,"Scratch Beer 10 - 2008",11
"137","Yuengling Brewery ",1203649959,3,4,"American Amber / Red Lager",4,3,"Yuengling Traditional Lager",4.4
"138","Yards Brewing Co.",1247080539,4,3.5,"English India Pale Ale (IPA)",3.5,4,"India Pale Ale",7
"139","Victory Brewing Company",1046772135,4,4,"American Barleywine",4.5,4.5,"Old Horizontal",11
"140","Victory Brewing Company",1236047489,4.5,4,"American Barleywine",4,4,"Old Horizontal",11
"141","Tröegs Brewing Company",1318906586,4.5,4,"American IPA",4,4,"Tröegs Perpetual IPA",7.5
"142","Victory Brewing Company",1056875781,4.5,4,"American IPA",4.5,4.5,"HopDevil Ale",6.7
"143","Yuengling Brewery ",1310940448,3,3,"American Amber / Red Lager",4,3.5,"Yuengling Traditional Lager",4.4
"144","Tröegs Brewing Company",1243130104,4,4.5,"Rye Beer",4,4,"Scratch Beer 18 - 2009",7.3
"145","Tröegs Brewing Company",1222313420,3,3.5,"American Porter",4,3.5,"Tröegs Dead Reckoning Porter",5.4
"146","Tröegs Brewing Company",1170565310,4,3.5,"Belgian Strong Dark Ale",4.5,4,"Tröegs Mad Elf",11
"147","Tröegs Brewing Company",1299903591,4,4.5,"American Amber / Red Ale",4.5,4.5,"Tröegs Hopback Amber Ale",6
"148","Victory Brewing Company",1304085591,4,4,"Rauchbier",4,4,"Scarlet Fire Rauchbier",6.1
"149","Victory Brewing Company",1163302074,4.5,4.5,"American IPA",5,4.5,"HopDevil Ale",6.7
"150","Tröegs Brewing Company",1265764398,4.5,4,"American Amber / Red Ale",4.5,4.5,"Tröegs Nugget Nectar",7.5
"151","Victory Brewing Company",1051987809,5,4.5,"American IPA",4.5,5,"HopDevil Ale",6.7
"152","Victory Brewing Company",1101245334,3.5,3.5,"German Pilsener",3.5,3.5,"Prima Pils",5.3
"153","Tröegs Brewing Company",1272758697,4.5,4,"Belgian IPA",4,4,"Scratch Beer 29 - 2010 (NBPA)",7.7
"154","Yards Brewing Co.",1088817656,3,4,"English Porter",2.5,3.5,"General Washington's Tavern Porter",7
"155","Tröegs Brewing Company",1312083239,3.5,4.5,"Belgian Strong Dark Ale",3.5,3.5,"Tröegs Mad Elf",11
"156","Tröegs Brewing Company",1231635224,3.5,3.5,"English Brown Ale",3.5,3.5,"Tröegs Rugged Trail Nut Brown Ale",4.4
"157","Tröegs Brewing Company",1072284385,3.5,4,"American Amber / Red Ale",4,4,"Tröegs Hopback Amber Ale",6
"158","Voodoo Brewing Company",1236864337,4.5,4.5,"American Double / Imperial Stout",4.5,5,"Big Black Voodoo Daddy",12.5
"159","Victory Brewing Company",1284995465,4,4.5,"Märzen / Oktoberfest",4,4,"Festbier",5.6
"160","Victory Brewing Company",1072920908,4.5,4.5,"American Double / Imperial IPA",5,5,"Hop Wallop",8.5
"161","Yuengling Brewery ",1263912857,2.5,3.5,"American Amber / Red Lager",3,3,"Yuengling Traditional Lager",4.4
"162","Tröegs Brewing Company",1261180648,3.5,3,"Belgian Strong Dark Ale",3.5,3.5,"Tröegs Mad Elf",11
"163","Tröegs Brewing Company",1295405936,4,4,"American IPA",4,4,"Scratch Beer 38 - 2010 (IPA #2 Of 4)",7.7
"164","Victory Brewing Company",1300811775,4,4,"German Pilsener",4,4.5,"Tettnanger Pils",NA
"165","Tröegs Brewing Company",1239257352,3.5,3.5,"English Brown Ale",3.5,3.5,"Tröegs Rugged Trail Nut Brown Ale",4.4
"166","Victory Brewing Company",1323725160,4,4,"Smoked Beer",4,4,"Otto Ale",8.1
"167","Tröegs Brewing Company",1230436699,3.5,2.5,"Hefeweizen",4,4,"DreamWeaver Wheat",4.8
"168","Tröegs Brewing Company",1313841773,4.5,4.5,"American IPA",4.5,4.5,"Tröegs Perpetual IPA",7.5
"169","Yuengling Brewery ",1162761330,2,2,"American Amber / Red Lager",3,2,"Yuengling Traditional Lager",4.4
"170","Victory Brewing Company",1108129364,5,5,"Doppelbock",5,5,"St. Victorious",7.6
"171","Yards Brewing Co.",1174783901,3.5,3.5,"Extra Special / Strong Bitter (ESB)",3,3,"Extra Special Ale (ESA)",6.3
"172","Victory Brewing Company",1195431564,4,4.5,"Russian Imperial Stout",4,5,"Storm King Stout",9.1
"173","Yards Brewing Co.",1266268527,3.5,4,"Extra Special / Strong Bitter (ESB)",4,4,"Extra Special Ale (ESA)",6.3
"174","Tröegs Brewing Company",1242332605,3.5,4.5,"Oatmeal Stout",4.5,4,"Scratch Beer 15 - 2008",6
"175","Yards Brewing Co.",1324138192,4,4,"English Stout",4,4,"Love Stout",5
"176","Victory Brewing Company",1230493919,3.5,4,"American Black Ale",3.5,3.5,"Yakima Glory",8.7
"177","Yuengling Brewery ",1280389840,3.5,4,"American Amber / Red Lager",4.5,3.5,"Yuengling Traditional Lager",4.4
"178","Tröegs Brewing Company",1200868221,4,4,"American Amber / Red Ale",4,4.5,"Tröegs Hopback Amber Ale",6
"179","Victory Brewing Company",1267970408,3.5,3.5,"English Pale Mild Ale",3,3.5,"Strangeways Golden Ale",3.5
"180","Victory Brewing Company",1232576833,4,3.5,"German Pilsener",4.5,5,"Prima Pils",5.3
"181","Voodoo Brewing Company",1298211000,4,4,"Belgian Strong Pale Ale",3,3,"Voodoo Love Child",10.5
"182","Victory Brewing Company",1179075218,4,3.5,"Witbier",4,4,"Whirlwind Witbier",5
"183","Victory Brewing Company",1318294087,3.5,4,"Russian Imperial Stout",3.5,3.5,"Storm King Stout",9.1
"184","Tröegs Brewing Company",1184990817,4,4.5,"American Pale Ale (APA)",3,3,"Tröegs Pale Ale",5.4
"185","Tröegs Brewing Company",1276480004,4,3.5,"American Pale Ale (APA)",5,4,"Tröegs Pale Ale",5.4
"186","Tröegs Brewing Company",1214318801,4,4.5,"American Amber / Red Ale",4.5,5,"Tröegs Hopback Amber Ale",6
"187","Yards Brewing Co.",1267239501,3.5,3.5,"English Dark Mild Ale",4,4,"Brawler Pugilist Style Ale",4.2
"188","Victory Brewing Company",1304649337,3,4,"Irish Dry Stout",4.5,4.5,"Donnybrook Stout",3.7
"189","Victory Brewing Company",1154645084,3.5,3.5,"Altbier",4,3.5,"Ten Years Alt",8.5
"190","Yuengling Brewery ",1210025166,2,3,"American Amber / Red Lager",2.5,1,"Yuengling Traditional Lager",4.4
"191","Victory Brewing Company",1140632436,4.5,4.5,"Czech Pilsener",4.5,4.5,"Braumeister Pils - Saaz",5.7
"192","Tröegs Brewing Company",1297388531,3,4,"Oatmeal Stout",3.5,3,"Tröegs Java Head Stout",7.5
"193","Victory Brewing Company",1242192465,3,3.5,"Weizenbock",3.5,2.5,"Moonglow Weizenbock",8.7
"194","Victory Brewing Company",1230082602,5,4,"American Double / Imperial IPA",4,4.5,"Hop Wallop",8.5
"195","Victory Brewing Company",1053728320,4.5,4,"Witbier",4.5,4.5,"Whirlwind Witbier",5
"196","Victory Brewing Company",1150765223,4,4.5,"Doppelbock",4.5,4.5,"St. Victorious",7.6
"197","Victory Brewing Company",1316408088,3.5,4,"Saison / Farmhouse Ale",4,3.5,"Helios  (V Saison)",7.5
"198","Victory Brewing Company",1258024632,3.5,4,"American Pale Ale (APA)",3.5,3.5,"Vista Farms Harvest Ale 2009",NA
"199","Tröegs Brewing Company",1300412280,3.5,4,"American Amber / Red Ale",3.5,3.5,"Tröegs Nugget Nectar",7.5
"200","Yuengling Brewery ",1297969931,4,4,"American Amber / Red Lager",3.5,3.5,"Yuengling Traditional Lager",4.4
"201","Victory Brewing Company",1264377966,4,3.5,"Baltic Porter",3.5,3.5,"Baltic Thunder",8.5
"202","Tröegs Brewing Company",1300925173,5,5,"American Amber / Red Ale",4.5,4.5,"Tröegs Nugget Nectar",7.5
"203","Tröegs Brewing Company",1290471733,4.5,4.5,"American IPA",4,4,"Scratch Beer 31 - 2010 (Citra Of Brotherly Love IPA)",7.4
"204","Yuengling Brewery ",1258591358,3.5,3.5,"Light Lager",3,3,"Yuengling Light Lager",3.4
"205","Victory Brewing Company",1300843803,4,4,"American Pale Ale (APA)",3,3.5,"Headwaters Pale Ale",5.1
"206","Voodoo Brewing Company",1237170504,4,4.5,"Belgian Strong Pale Ale",4,4,"Voodoo Love Child",10.5
"207","Yards Brewing Co.",1168126160,3.5,3.5,"English India Pale Ale (IPA)",3.5,3.5,"India Pale Ale",7
"208","Voodoo Brewing Company",1304874586,4.5,4,"Milk / Sweet Stout",4,4.5,"Cowbell Imperial Oatmeal Milk Stout",8.5
"209","Tröegs Brewing Company",1297563296,3.5,5,"American Double / Imperial Stout",4,4,"Splinter Black",11
"210","Tröegs Brewing Company",1286239704,4,4,"Doppelbock",4,4.5,"Troegenator Double Bock",8.2
"211","Victory Brewing Company",1308015558,4.5,4,"Quadrupel (Quad)",4.5,4,"V-Twelve",12
"212","Victory Brewing Company",1089153988,4.5,4,"Weizenbock",4,5,"Moonglow Weizenbock",8.7
"213","Tröegs Brewing Company",1110827039,4.5,4.5,"American Amber / Red Ale",4,4.5,"Tröegs Nugget Nectar",7.5
"214","Tröegs Brewing Company",1249155913,4.5,3.5,"Belgian Strong Pale Ale",4,4.5,"Scratch Beer 21 (Naked Elf)",7.8
"215","Tröegs Brewing Company",1243548278,4.5,4.5,"American Double / Imperial Stout",4,4.5,"Scratch Beer 19 -  2009",9.5
"216","Victory Brewing Company",1120361229,4,4,"Tripel",4,3.5,"Golden Monkey",9.5
"217","Yuengling Brewery ",1207364220,3,3.5,"American Amber / Red Lager",2.5,3,"Yuengling Traditional Lager",4.4
"218","Victory Brewing Company",1135565404,5,5,"Russian Imperial Stout",4.5,4.5,"Storm King Stout",9.1
"219","Victory Brewing Company",1264397890,2.5,3,"Saison / Farmhouse Ale",2.5,2.5,"Helios  (V Saison)",7.5
"220","Victory Brewing Company",1143593194,4,4,"Doppelbock",3.5,4,"St. Victorious",7.6
"221","Victory Brewing Company",1255397121,4.5,4,"American Barleywine",4,4,"Old Horizontal",11
"222","Tröegs Brewing Company",1260933536,2.5,4.5,"English Brown Ale",4,3,"Tröegs Rugged Trail Nut Brown Ale",4.4
"223","Victory Brewing Company",1287954207,3,4,"Hefeweizen",3.5,3.5,"Sunrise Weiss",5.7
"224","Yards Brewing Co.",1110520485,2.5,2,"Extra Special / Strong Bitter (ESB)",2.5,2,"Extra Special Ale (ESA)",6.3
"225","Tröegs Brewing Company",1315008031,3.5,4,"American IPA",4,4,"Scratch Beer 43 - 2011",6.7
"226","Voodoo Brewing Company",1235188038,3,4,"Belgian Strong Pale Ale",3.5,4,"Voodoo Love Child",10.5
"227","Victory Brewing Company",1208641312,4.5,3.5,"Doppelbock",4,4.5,"St. Victorious",7.6
"228","Victory Brewing Company",1217388491,3,3.5,"Russian Imperial Stout",3.5,3,"Storm King Stout",9.1
"229","Victory Brewing Company",1260397922,4.5,4.5,"Saison / Farmhouse Ale",4,4,"Helios  (V Saison)",7.5
"230","Victory Brewing Company",1222391344,3.5,4,"Märzen / Oktoberfest",4,4,"Festbier",5.6
"231","Tröegs Brewing Company",1291165292,4.5,3.5,"Belgian Strong Dark Ale",4.5,4,"Tröegs Mad Elf",11
"232","Victory Brewing Company",1284606757,3.5,4,"American Barleywine",4,3.5,"Old Horizontal",11
"233","Victory Brewing Company",1241202570,4,3.5,"American IPA",3.5,4,"HopDevil Ale",6.7
"234","Victory Brewing Company",1158795110,4,3.5,"Märzen / Oktoberfest",4.5,4,"Festbier",5.6
"235","Victory Brewing Company",1129159006,4,4,"American IPA",3.5,3,"HopDevil Ale",6.7
"236","Tröegs Brewing Company",1136024250,3.5,4,"Oatmeal Stout",3.5,4,"Tröegs Oatmeal Stout",7
"237","Victory Brewing Company",1199665838,4.5,4.5,"Russian Imperial Stout",4.5,4.5,"Storm King Stout",9.1
"238","Victory Brewing Company",1263963200,5,3.5,"American Black Ale",3,3,"Yakima Glory",8.7
"239","Tröegs Brewing Company",1319317395,4,3.5,"Belgian Strong Pale Ale",3.5,3.5,"Scratch Beer 46 - 2011 (Naked Elf)",7.8
"240","Tröegs Brewing Company",1202741077,3.5,4.5,"American Amber / Red Ale",4,4.5,"Tröegs Nugget Nectar",7.5
"241","Victory Brewing Company",1247094649,4,3,"German Pilsener",3.5,3.5,"Prima Pils",5.3
"242","Yards Brewing Co.",1148690403,4.5,3,"English India Pale Ale (IPA)",4,4,"India Pale Ale",7
"243","Yuengling Brewery ",1172283112,3.5,3,"American Pale Ale (APA)",3,3.5,"Lord Chesterfield Ale",5.4
