"time","brewery","name","style","abv","aroma","appearance","palate","taste","total","average"
2003-02-28 13:10:48,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,4,3,4,14,3.5
2003-03-01 09:16:14,"Yuengling Brewery","Lord Chesterfield Ale","American Pale Ale (APA)",5.4,3,3,3,3.5,12.5,3.125
2003-03-04 05:02:15,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4,4.5,4.5,17,4.25
2003-03-05 02:14:18,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,4.5,4.5,5,17.5,4.375
2003-03-14 04:27:15,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,4.5,5,4.5,18,4.5
2003-03-16 08:46:27,"Troegs Brewing Company","Troegs ESB Ale","Extra Special / Strong Bitter (ESB)",5.7,4,4.5,3.5,4,16,4
2003-03-20 00:46:43,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,3.5,3.5,3.5,14,3.5
2003-03-20 05:45:58,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,4,4,3.5,4,15.5,3.875
2003-03-20 13:35:17,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3,4,2.5,3.5,13,3.25
2003-04-07 07:28:42,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,2.5,3,2.5,3.5,11.5,2.875
2003-04-10 02:31:21,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4.5,4,16.5,4.125
2003-04-19 02:18:27,"Victory Brewing Company","V-Ten","Belgian Strong Dark Ale",10,5,4,4.5,4,17.5,4.375
2003-04-19 11:51:24,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,4,4,4,4,16,4
2003-04-19 11:53:17,"Victory Brewing Company","Victory Lager","Munich Helles Lager",4.8,4,4,3.5,3.5,15,3.75
2003-04-24 09:37:04,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,4.5,4.5,18,4.5
2003-04-26 13:35:40,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3.5,4,3.5,4,15,3.75
2003-04-28 06:47:35,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,5,5,19,4.75
2003-04-29 15:53:21,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4.5,4,4.5,4.5,17.5,4.375
2003-05-03 14:50:09,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,5,4.5,4.5,5,19,4.75
2003-05-04 02:34:37,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,3.5,3.5,3.5,14.5,3.625
2003-05-07 06:45:15,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,2,3,2.5,1.5,9,2.25
2003-05-14 17:44:31,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4,4.5,4.5,17,4.25
2003-05-17 19:22:09,"Yards Brewing Company","Yards Saison","Saison / Farmhouse Ale",6.5,3.5,3.5,3.5,3.5,14,3.5
2003-05-19 09:19:27,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,3.5,3.5,4,15.5,3.875
2003-05-20 11:03:41,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3.5,3.5,3.5,13.5,3.375
2003-05-21 10:47:53,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2.5,4,3,3,12.5,3.125
2003-05-23 18:18:40,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4.5,4,4.5,4.5,17.5,4.375
2003-05-24 13:24:58,"Victory Brewing Company","V-Ten","Belgian Strong Dark Ale",10,3.5,3.5,4,4.5,15.5,3.875
2003-06-03 11:43:09,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4,4,4.5,4,16.5,4.125
2003-06-04 11:43:49,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4,4.5,4,4,16.5,4.125
2003-06-05 11:08:08,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,4,4,4,16.5,4.125
2003-06-08 11:31:32,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,4,4,3.5,15.5,3.875
2003-06-17 08:58:15,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,4,4.5,4,3,15.5,3.875
2003-06-18 17:19:50,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,5,4,4,17,4.25
2003-06-25 08:54:59,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,4,4,4,4,16,4
2003-06-29 04:36:21,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4.5,4.5,17.5,4.375
2003-07-05 07:26:10,"Victory Brewing Company","Victory Lager","Munich Helles Lager",4.8,4,4,4,4,16,4
2003-07-15 07:48:56,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3.5,3.5,3,4,14,3.5
2003-07-18 12:43:15,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,5,5,4.5,19,4.75
2003-07-22 22:11:53,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,4.5,4,4.5,16.5,4.125
2003-07-23 00:11:56,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,4,3.5,4,4.5,16,4
2003-08-02 20:10:09,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,3.5,5,4.5,17,4.25
2003-08-18 08:18:47,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,3,3,14,3.5
2003-08-27 19:38:14,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,4,4,4,16,4
2003-08-31 23:43:55,"Victory Brewing Company","Golden Monkey","Tripel",9.5,5,4,4,4.5,17.5,4.375
2003-09-02 21:59:23,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,3,3.5,3,3.5,13,3.25
2003-09-04 19:18:17,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,1.5,2,2.5,1.5,7.5,1.875
2003-09-09 10:39:46,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,4.5,4.5,17.5,4.375
2003-09-28 11:51:05,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,4,4.5,4,4,16.5,4.125
2003-09-30 10:46:14,"Yuengling Brewery","Lord Chesterfield Ale","American Pale Ale (APA)",5.4,2.5,3,3,3.5,12,3
2003-10-01 12:19:49,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,4,3.5,3.5,4,15,3.75
2003-10-03 20:31:55,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4.5,5,18,4.5
2003-10-04 17:47:16,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,4,16,4
2003-10-09 22:10:08,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4,4.5,16.5,4.125
2003-10-13 19:00:37,"Victory Brewing Company","Workhorse Porter","American Porter",5.5,3.5,4.5,3.5,4,15.5,3.875
2003-10-20 00:37:30,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,4,4.5,4,4.5,17,4.25
2003-10-22 15:15:55,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3.5,4,3.5,3.5,14.5,3.625
2003-10-27 20:00:11,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,4,3.5,15,3.75
2003-10-31 20:20:04,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,5,4.5,4.5,18.5,4.625
2003-11-01 21:35:23,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3.5,4,4.5,3.5,15.5,3.875
2003-11-05 19:17:23,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,3.5,4,4,4.5,16,4
2003-11-06 00:36:41,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,4.5,4.5,18,4.5
2003-11-06 09:22:56,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,3,4,3,3.5,13.5,3.375
2003-11-06 20:22:31,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4.5,4,17,4.25
2003-11-09 08:25:50,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,4,4.5,4.5,17,4.25
2003-11-15 17:46:41,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,3.5,3.5,3.5,3.5,14,3.5
2003-11-19 21:53:11,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4.5,4.5,17.5,4.375
2003-11-23 10:54:25,"Yards Brewing Company","Love Stout","English Stout",5,3,4,3.5,4,14.5,3.625
2003-11-26 06:16:31,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,3.5,4,4,3.5,15,3.75
2003-11-29 22:35:00,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,5,4,4.5,4.5,18,4.5
2003-12-05 23:19:08,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,3.5,4,4,4,15.5,3.875
2003-12-07 21:40:09,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,5,4.5,4.5,4.5,18.5,4.625
2003-12-08 08:53:36,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,5,5,5,19.5,4.875
2003-12-14 16:25:59,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4.5,3.5,4.5,16.5,4.125
2003-12-17 16:22:39,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,5,4.5,5,19,4.75
2003-12-17 22:26:33,"Victory Brewing Company","Old Horizontal","American Barleywine",11,3.5,4,3.5,4,15,3.75
2003-12-19 20:35:50,"Yards Brewing Company","Pynk","Lambic - Fruit",4.5,4,4,3.5,3.5,15,3.75
2003-12-24 01:35:39,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,5,5,5,19.5,4.875
2003-12-24 03:35:19,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,5,5,5,19.5,4.875
2003-12-24 11:46:25,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,3.5,4,4,4,15.5,3.875
2003-12-28 16:58:34,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,4.5,4.5,4,17,4.25
2003-12-30 14:57:45,"Yuengling Brewery","Yuengling Light Lager","Light Lager",3.4,2.5,2.5,2.5,2,9.5,2.375
2003-12-30 17:24:18,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4.5,4.5,17,4.25
2003-12-31 20:35:08,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4.5,5,5,19,4.75
2004-01-03 18:54:31,"Victory Brewing Company","V-Ten","Belgian Strong Dark Ale",10,4,4.5,4,4.5,17,4.25
2004-01-03 22:00:49,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4,4.5,4.5,17,4.25
2004-01-05 19:58:59,"Yards Brewing Company","India Pale Ale","English India Pale Ale (IPA)",7,3.5,3.5,4,4.5,15.5,3.875
2004-01-09 16:25:20,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,4.5,16.5,4.125
2004-01-19 14:04:39,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,4.5,5,18.5,4.625
2004-01-22 15:45:18,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,4,4,4.5,16,4
2004-01-22 19:16:42,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,3.5,4,4.5,16,4
2004-01-25 19:01:55,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,5,5,4.5,19,4.75
2004-01-27 18:17:09,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,3.5,4,3.5,2,13,3.25
2004-01-31 20:21:21,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4,3.5,4,15.5,3.875
2004-02-03 00:33:00,"Victory Brewing Company","V-Grand Cru","Belgian Strong Dark Ale",9,4,4,4,3.5,15.5,3.875
2004-02-14 22:20:09,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4,4,4.5,4,16.5,4.125
2004-02-18 13:53:12,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2,3,2,2,9,2.25
2004-02-23 00:33:14,"Victory Brewing Company","Golden Monkey","Tripel",9.5,2.5,3,4,3,12.5,3.125
2004-03-10 22:29:08,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3,2.5,4,3.5,13,3.25
2004-03-13 00:58:49,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3.5,3,3,3.5,13,3.25
2004-03-19 00:34:44,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3,4,4,4,15,3.75
2004-03-31 08:09:03,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,4,4,4,15.5,3.875
2004-04-05 19:35:33,"Yards Brewing Company","Yards Saison","Saison / Farmhouse Ale",6.5,4,4,3.5,3.5,15,3.75
2004-04-06 06:39:37,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,5,4.5,5,5,19.5,4.875
2004-04-06 23:20:04,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4,4,16.5,4.125
2004-04-08 18:23:55,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4,4,4.5,17,4.25
2004-04-10 12:10:11,"Yards Brewing Company","General Washington's Tavern Porter","English Porter",7,4,4,4,3.5,15.5,3.875
2004-04-13 21:27:23,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,3,4,3,4,14,3.5
2004-04-13 21:33:15,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,4,4,3.5,15.5,3.875
2004-04-14 19:40:47,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4,4.5,4.5,17.5,4.375
2004-04-15 22:20:13,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,3.5,3,3.5,4,14,3.5
2004-04-19 19:17:14,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,5,5,4.5,5,19.5,4.875
2004-04-19 21:25:12,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4,5,5,18.5,4.625
2004-04-23 23:09:04,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,4,4,4,4.5,16.5,4.125
2004-04-23 23:41:40,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,4.5,4,4.5,17.5,4.375
2004-04-26 20:12:51,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4,4,4,4.5,16.5,4.125
2004-05-03 15:54:01,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4.5,4.5,17.5,4.375
2004-05-04 21:44:29,"Victory Brewing Company","V-Ten","Belgian Strong Dark Ale",10,4.5,4.5,4.5,4.5,18,4.5
2004-05-10 00:00:24,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4.5,4.5,4.5,17.5,4.375
2004-05-30 23:29:18,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4,4,4,16,4
2004-06-01 19:39:43,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,3.5,3,4,14,3.5
2004-06-01 21:56:36,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,5,5,5,5,20,5
2004-06-07 09:03:27,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,4.5,4,4.5,4,17,4.25
2004-06-09 17:41:03,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2.5,3.5,4,3.5,13.5,3.375
2004-06-17 01:39:30,"Yards Brewing Company","Yards Saison","Saison / Farmhouse Ale",6.5,4.5,3.5,4,4.5,16.5,4.125
2004-06-20 19:43:34,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3.5,3.5,4,4.5,15.5,3.875
2004-06-23 00:31:31,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,4,3,3.5,14,3.5
2004-06-24 10:02:40,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4,4,4,4.5,16.5,4.125
2004-06-27 03:40:13,"Yards Brewing Company","Thomas Jefferson's Tavern Ale","English Strong Ale",8,3,3.5,3,3.5,13,3.25
2004-06-27 20:18:19,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,4,4,4.5,4.5,17,4.25
2004-06-28 19:34:34,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4.5,3.5,5,4,17,4.25
2004-06-29 15:12:20,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4,4,4,3.5,15.5,3.875
2004-07-02 21:20:56,"Yards Brewing Company","General Washington's Tavern Porter","English Porter",7,3,4,2.5,3.5,13,3.25
2004-07-06 18:46:28,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4.5,4,4,5,17.5,4.375
2004-07-07 18:03:20,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4,3.5,15.5,3.875
2004-07-09 05:51:10,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4.5,4,4,4.5,17,4.25
2004-07-09 14:02:24,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4.5,4,16.5,4.125
2004-07-11 07:31:18,"Victory Brewing Company","V-Ten","Belgian Strong Dark Ale",10,4,4,4,4,16,4
2004-07-12 21:31:30,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4,4,4.5,16.5,4.125
2004-07-16 21:28:46,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4,4,3.5,15.5,3.875
2004-07-19 12:38:07,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,5,5,19,4.75
2004-07-27 13:17:56,"Yards Brewing Company","Love Stout","English Stout",5,4,4,4.5,4.5,17,4.25
2004-07-31 16:46:22,"Troegs Brewing Company","The Drafting Room 10th Anniversary Ale","English India Pale Ale (IPA)",7,4.5,4,4,4.5,17,4.25
2004-08-03 17:48:24,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3,4.5,2.5,3.5,13.5,3.375
2004-08-04 23:16:01,"Victory Brewing Company","Milltown Mild","English Dark Mild Ale",3.3,3.5,4.5,3.5,4,15.5,3.875
2004-08-05 11:03:05,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,4.5,5,18.5,4.625
2004-08-06 19:43:07,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,4,3,3.5,13.5,3.375
2004-08-08 10:41:36,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,3,3,3,12,3
2004-08-08 12:56:06,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,3.5,4,4,15.5,3.875
2004-08-11 23:20:26,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,4,4,3.5,15.5,3.875
2004-08-14 16:29:17,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3,4,3,4,14,3.5
2004-08-14 18:04:44,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,3.5,4,4,3.5,15,3.75
2004-08-16 11:42:35,"Yards Brewing Company","Yards Saison","Saison / Farmhouse Ale",6.5,4,3.5,3.5,4,15,3.75
2004-08-30 14:36:05,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,5,4.5,18,4.5
2004-09-13 10:35:58,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4,4.5,4.5,4.5,17.5,4.375
2004-09-23 20:06:05,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,4,4,15.5,3.875
2004-10-13 21:21:36,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4.5,4,4,16.5,4.125
2004-10-21 06:48:24,"Yards Brewing Company","Philadelphia Pale Ale","American Pale Ale (APA)",4.3,3.5,4,3.5,3.5,14.5,3.625
2004-10-26 15:08:02,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4.5,4,3.5,4.5,16.5,4.125
2004-10-28 22:17:53,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4,4,4,4.5,16.5,4.125
2004-11-07 18:54:26,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,4,3,2.5,12.5,3.125
2004-11-15 11:08:55,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,3.5,3.5,3,14.5,3.625
